Summary for socfb-Auburn71 (.mtx)
===============================
N: 18448
M: 973918
Density: 0.005724
Avg degree: 105.5852
Avg path length (LCC): 2.6755
Diameter: 7
Avg clustering: 0.2228
Modularity (Louvain): 0.3774
Assortativity: 0.0010

Top-degree nodes:
 node    score
 5471 0.279720
10625 0.186426
14496 0.177102
12498 0.154876
 7193 0.135252
 1826 0.068954
10076 0.062070
 3211 0.058492
 2454 0.056757
 6394 0.052095
18336 0.049222
14710 0.047975
15170 0.044181
 4206 0.043964
16265 0.043801

Top-betweenness nodes:
 node    score
 5471 0.096656
10625 0.059351
12498 0.043387
14496 0.036652
 7193 0.029821
15170 0.005549
 2454 0.005194
18336 0.004435
 1826 0.004377
 6394 0.004125
 7703 0.003637
10076 0.003497
 3211 0.003028
15651 0.002578
14236 0.002445
